cardiffnlp/tweet_sentiment_multilingual	train	text	label	FALSE	all	10000	23	english, arabic, french
strombergnlp/nordic_langid	train	sentence	language	FALSE	10k	10000	23	danish, norwegian, faroese, icelandic, swedish
strombergnlp/nordic_langid	train	sentence	language	FALSE	50k	10000	23	danish, norwegian, faroese, icelandic, swedish
conceptnet5/conceptnet5	train	sentence	lang	FALSE	omcs_sentences_free	10000	23	interlingua
conceptnet5/conceptnet5	train	sentence	lang	FALSE	omcs_sentences_more	10000	23	interlingua
nala-cub/americas_nli	test	['premise', 'hypothesis']	label	FALSE	all_languages	7486	23	interlingua
tyqiangz/multilingual-sentiments	train	text	label	FALSE	all	10000	23	interlingua
SachinPatel248/mqnli	train	sentence	label	FALSE	default	10000	23	interlingua
AmazonScience/massive	train	annot_utt	scenario	FALSE	all	10000	23	interlingua
AmazonScience/massive	train	annot_utt	scenario	FALSE	all_1.1	10000	23	interlingua
community-datasets/tapaco	train	paraphrase	language	FALSE	all_languages	10000	23	interlingua
laurievb/open-lid-dataset	train	text	language	FALSE	default	10000	23	interlingua
indonlp/NusaX-senti	train	text	label	FALSE	ace	500	23	acehnese
senti-lex/senti_lex	train	word	sentiment	FALSE	af	2299	23	afrikaan
AmazonScience/massive	train	annot_utt	scenario	FALSE	af-ZA	10000	23	afrikaan
Genius1237/TyDiP	test	text	labels	FALSE	af	250	23	afrikaan
AmazonScience/massive	train	annot_utt	scenario	FALSE	sq-AL	10000	23	albanian
senti-lex/senti_lex	train	word	sentiment	FALSE	sq	2076	23	albanian
shmuhammad/AfriSenti-twitter-sentiment	train	tweet	label	FALSE	ary	5583	23	algerian arabic
AmazonScience/massive	train	annot_utt	scenario	FALSE	am-ET	10000	23	amharic
masakhane/masakhanews	train	text	label	FALSE	amh	1311	23	amharic
shmuhammad/AfriSenti-twitter-sentiment	train	tweet	label	FALSE	amh	5984	23	amharic
AmazonScience/massive	train	annot_utt	scenario	FALSE	ar-SA	10000	23	arabic
BDas/ArabicNLPDataset	train	text	label	FALSE	ArabicData	10000	23	arabic
cardiffnlp/tweet_sentiment_multilingual	train	text	label	FALSE	arabic	1839	23	arabic
community-datasets/journalists_questions	train	tweet_id	label	FALSE	plain_text	10000	23	arabic
Elnagara/hard	train	text	label	FALSE	plain_text	10000	23	arabic
emotone-ar-cicling2017/emotone_ar	train	tweet	label	FALSE	default	10000	23	arabic
hadyelsahar/ar_res_reviews	train	text	polarity	FALSE	default	8364	23	arabic
iabufarha/ar_sarcasm	train	tweet	sarcasm	FALSE	default	8437	23	arabic
komari6/ajgt_twitter_ar	train	text	label	FALSE	plain_text	1800	23	arabic
mohamedadaly/labr	train	text	label	FALSE	plain_text	10000	23	arabic
MuhammadHelmy/nafsy	train	content	prob	TRUE	default	1884	23	arabic
ohidaoui/darija-reviews	test	review	label	FALSE	default	851	23	arabic
senti-lex/senti_lex	train	word	sentiment	FALSE	ar	2794	23	arabic
strombergnlp/offenseval_2020	train	text	subtask_a	FALSE	ar	7839	23	arabic
tyqiangz/multilingual-sentiments	train	text	label	FALSE	arabic	1839	23	arabic
senti-lex/senti_lex	train	word	sentiment	FALSE	an	97	23	aragonese
senti-lex/senti_lex	train	word	sentiment	FALSE	hy	1657	23	armenian
AmazonScience/massive	train	annot_utt	scenario	FALSE	hy-AM	10000	23	armenian
nala-cub/americas_nli	test	['premise', 'hypothesis']	label	FALSE	cni	750	23	ashaninka
ai4bharat/indic_glue	test	question	category	FALSE	csqa.as	2942	23	assamese
ai4bharat/indic_glue	train	sectionText	correctTitle	FALSE	wstp.as	5000	23	assamese
